# vendor regex	renderer/driver regex	severity	source	type	message id	allowed test/task regex	message regex	rationale	owner	added date	expiry/review date	max count
.*	.*	HIGH	APPLICATION	ERROR	99999	.*DiagnosticsContractsGlTest.*	must-survive	Synthetic message-ring retention contract; never emitted by production rendering.	diagnostics	2026-07-21	2027-07-21	1
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runRender3dGtaoBenchmarks.*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization for the explicit enabled/disabled cold-start comparison (up to three rounds per mode and two benchmark sizes).	render3d/gtao-benchmark	2026-08-20	2027-02-20	72
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runOutdoorEnvironmentStabilityIntegration.*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	Bounded NVIDIA shader-state specialization across 100 deliberate IBL graph replacements and 10 allocation rollbacks; four messages per generation plus cold-setup allowance.	render3d/outdoor-stability	2026-09-08	2027-03-08	512
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(runOutdoorEnvironment.*|localOutdoorVerification).*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the v0.24 stylized outdoor and volumetric-lighting warmup.	render3d/outdoor	2026-09-08	2027-03-08	128
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*GtaoShaderGlTest.*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the bounded GTAO pixel A/B and anti-aliasing combination smoke test.	rendering/gtao	2026-08-20	2027-02-20	12
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131154	.*runOutdoorEnvironmentCapture.*	(?:Pixel-path performance warning: )?Pixel transfer is synchronized with 3D rendering.*	One intentional final-frame screenshot readback; this task does not measure performance.	render3d/capture	2026-09-08	2027-03-08	1
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(runRender3dTemporalBenchmarks|runRender3dTemporalDemoIntegration|runRender3dTemporalQuality).*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the temporal A/B cold-start comparison and demo warmup.	render3d/temporal-benchmark	2026-09-09	2027-03-09	72
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131186	.*(ClusterAssignmentGlTest|runRender3dClusteredIntegration).*	Buffer performance warning: Buffer object .* is being copied/moved from VIDEO memory to HOST memory.*	Intentional cluster header/index readback compared against an independent CPU oracle outside the measured render path.	render3d/clustered	2026-09-10	2027-03-10	64
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runRender3dClustered(Demo|Town|Stress|Overflow)?Integration.*	Program/shader state performance warning: (?:Vertex|Geometry) shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the clustered-forward demo warmup.	render3d/clustered	2026-09-10	2027-03-10	64
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runRender3dClusteredBenchmarks.*	Program/shader state performance warning: (?:Vertex|Geometry) shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization before the measured clustered benchmark windows.	render3d/clustered	2026-09-10	2027-03-10	256
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runRender3dClusteredQuality.*	Program/shader state performance warning: (?:Vertex|Geometry) shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the TAA night-town quality warmup.	render3d/clustered	2026-09-10	2027-03-10	32
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131154	.*runRender3dClusteredQuality.*	(?:Pixel-path performance warning: )?Pixel transfer is synchronized with 3D rendering.*	Two deterministic quality passes with three declared capture frames each; readback is outside any performance measurement.	render3d/clustered	2026-09-10	2027-03-10	8
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131154	.*runRender3dClusteredDemoCapture.*	(?:Pixel-path performance warning: )?Pixel transfer is synchronized with 3D rendering.*	Two declared capture-smoke frames; readback is outside any performance measurement.	render3d/clustered	2026-09-10	2027-03-10	2
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runRender3dClusteredDemoCapture.*	Program/shader state performance warning: (?:Vertex|Geometry) shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the capture-smoke warmup.	render3d/clustered	2026-09-10	2027-03-10	8
